; Amazonas;Ancash;Apurimac; Arequipa;Ayacucho;Cajamarca; Callao;Cusco;Huancavelica;Huánuco; Ica; Junín; La Libertad; Lambayeque;Lima; Loreto; Madre de Dios; Moquegua; Pasco;Piura; Puno;San Martín; Tacna ; Tumbes; Ucayali; No registrado; Total
May-18;0.72876418;468.8945153;258.4117366;455.3475928;22.19735313;65.83262471;565.7964904;170.5253806;2.81644314;0.83672522;296.1965315;85.80577425;245.0717524;53.51836874;921.1029737;0.61537872;5.51513499;162.987001;9.56686623;215.8464302;116.7459331;4.11295273;10.02635942;10.71815251;1.86704583;93.91841041;4245.002692
Jun-18;2.64217663;468.9894018;238.0561635;509.4847345;32.14144538;135.4080295;690.9655531;209.2706748;2.48518859;1.95119797;265.7610742;67.35644298;283.6698115;38.41868547;911.5345077;0.8100826;5.09986113;138.9694675;46.70246301;246.3403391;115.1379176;7.74876258;13.5628207;12.79435165;2.12205181;93.16973076;4540.592936
Jul-18;3.78071498;442.1767392;190.7559824;390.7243249;13.23038281;126.0967272;466.3567768;184.7248491;2.48266504;0.85606193;273.3416122;61.10660559;233.062064;31.90761784;975.818869;19.88245968;5.35417999;219.9103178;19.73035422;208.3507981;113.3714641;7.57897128;11.71761722;12.94434696;1.73886881;80.84219758;4097.843569
Ago-18;4.22205067;393.1394115;149.4096225;442.7239454;29.93140549;130.5129816;471.4732243;224.7854414;2.84061008;3.19376153;251.7319664;63.68399753;288.8361258;31.06837309;949.1328632;1.30331752;4.16881747;178.36027;7.40395043;209.1304131;92.83839587;10.1324615;13.2618163;10.78316339;2.02628986;92.46217693;4058.556853
Set-18;4.90747373;311.8606563;183.3000882;438.5805955;27.47847245;138.4566342;495.3223772;114.4083695;2.04230991;7.72451528;282.6113636;63.29763416;220.6787988;55.06714389;985.3047791;1.88514336;7.50478188;155.7289731;10.64691488;151.485919;82.81223238;6.14806454;21.07684865;12.31980148;1.74526878;103.479102;3885.874262
Oct-18;6.76398283;272.1439569;158.3471981;347.6383191;38.0158995;194.6906193;390.0831954;204.0263315;2.78264502;2.17326913;228.9462021;63.87591078;270.1451615;61.78864829;1063.883311;1.57487592;7.52675391;204.104602;8.94442934;219.1083124;83.31974184;11.41334669;14.77853704;9.40294851;2.2100208;121.4053257;3989.093544
Nov-18;4.74956393;348.8512239;282.4668048;453.3303179;39.29169025;141.2744051;435.3433706;202.8263824;5.15129607;2.3449282;218.3691119;64.30360419;238.0554185;60.0411252;954.3021849;1.79520676;5.4787624;185.3161951;8.72960961;256.1355029;70.71522102;8.3165697;21.22326077;9.80765594;1.8482883;149.1974573;4169.265158
Dic-18;3.90483753;402.0331361;277.0846488;447.4729225;28.95022683;153.0731592;491.1164543;173.1651188;3.05236187;2.88755836;343.8907646;66.17171165;240.9703554;62.32304393;881.3348315;21.06177614;6.19063369;160.6695423;18.59314507;314.5249297;87.15469721;8.34514604;22.22530976;9.75013791;1.38455612;94.96965975;4322.300665
Ene-19;1.78189122;274.426263;188.5922208;355.4401731;42.14376224;140.5733173;414.3285149;186.4374933;0.59652962;3.20438245;417.600814;88.89045949;257.1502518;48.64876733;829.4853661;1.46854042;5.5505959;167.1686217;7.31946705;261.9702204;90.62073796;6.43940745;20.13405627;11.46309094;1.40129157;120.4576681;3943.293905
Feb-19;1.75211653;329.2147067;72.11004138;418.6997592;40.0726115;105.7367372;465.0681318;145.102997;1.44161575;0.72660499;298.7080872;80.30107072;167.417603;34.50175474;833.0324942;1.31017704;4.89608551;126.334567;4.11101518;226.1147773;68.77036936;5.46266986;9.8345585;8.64860929;1.1516973;67.23018046;3517.751039
